32.86		15
57.51		44
64.71		37
47.90		44
74.38		35
58.53		32
40.66		39
31.03		38
30.08		40
30.53		44
21.63		29
34.58		30
38.45		41
49.24		25
34.99		30
33.99		41
33.71		33
33.60		31
35.35		38
27.75		29
26.98		28
23.68		39
21.36		32
32.25		36
18.86		43
17.79		34
21.11		30
29.25		29
33.39		38
25.64		38
19.34		28
23.93		31
23.08		27
24.85		32
26.40		31
19.13		29
39.19		27
21.60		24
25.08		26
28.19		35
18.98		24
32.30		29
25.44		28
26.03		24
25.91		33
28.56		34
18.72		33
25.77		21
42.55		24
42.06		25
33.98		35
23.77		37
21.78		35
21.56		40
16.06		29
17.97		26
23.50		28
17.28		29
18.69		32
25.43		39
22.28		32
26.72		40
38.97		25
38.98		24
22.54		33
21.25		32
28.43		22
22.29		36
31.24		30
15.07		41
23.44		40
28.08		32
25.50		32
29.05		38
23.76		27
21.92		33
33.39		29
27.74		21
24.26		28
31.77		31
23.70		31
21.21		35
25.34		28
23.43		31
22.80		30
19.71		27
16.60		30
17.65		38
16.41		33
30.13		34
32.93		29
35.11		26
26.73		30
31.09		31
23.56		24
18.75		31
12.52		31
17.90		23
22.86		28
31.86		33
23.43		25
22.65		16
19.34		27
26.54		17
20.51		28
21.19		27
27.13		29
20.01		24
19.93		21
27.26		33
20.78		31
22.53		31
23.91		23
27.15		32
24.39		38
15.28		30
10.22		31
8.64		34
11.52		31
12.85		28
13.92		22
16.47		32
23.84		24
27.60		23
30.42		26
27.27		37
19.56		24
13.18		29
20.67		36
18.57		30
22.22		33
19.20		32
21.35		28
18.96		31
29.90		29
21.40		30
19.75		36
18.21		37
14.91		30
22.21		25
19.81		34
23.24		32
14.66		32
26.31		36
25.89		27
29.82		25
14.25		32
19.44		29
25.94		22
24.14		24
17.31		25
15.76		23
16.13		30
24.41		35
22.96		20
25.01		27
38.65		34
33.83		42
23.71		27
35.50		27
25.67		26
23.44		19
55.85		23
2173.74		6
26658.26		4
40980.85		5
164473.51		5
314302.18		7
370889.49		8
508672.45		8
1112886.16		6
953714.36		2
978846.29		8
2256318.00		10
1491977.68		12
